Rank,Player,Team,Position,Age,ETA,High,Low,Ralph,Matt,Eddy,Risk,AVG,OBP,SLG,HR,SB,ERA,WHIP,IP,K
45,Jarred Kelenic,Mariners,OF,19,2022,37,52,41,37,52,High,0.29,0.36,0.48,20,15,,,,
46,Xavier Edwards,Padres,SS,19,2021,34,49,49,47,34,High,0.3,0.38,0.425,10,40,,,,
47,Luis Garcia (WAS),Nationals,SS,19,2021,31,55,31,55,44,High,0.29,0.34,0.46,20,15,,,,
48,Ke'Bryan Hayes,Pirates,3B,22,2020,29,60,29,48,60,Moderate,0.285,0.35,0.455,20,15,,,,
49,Drew Waters,Braves,OF,20,2021,37,61,37,46,61,High,0.275,0.34,0.47,20,15,,,,
50,Nate Pearson,Blue Jays,RHP,22,2020,35,69,69,42,35,High,,,,,,3.15,1.15,200,220
51,Luis Robert,White Sox,OF,21,2021,47,54,47,54,53,High,0.27,0.35,0.48,20,20,,,,
52,Casey Mize,Tigers,RHP,22,2020,47,55,55,53,47,High,,,,,,3,1.1,200,200
53,George Valera,Indians,OF,18,2022,49,63,63,52,49,Extreme,0.285,0.37,0.51,25,5,,,,
54,Ian Anderson,Braves,RHP,21,2020,48,66,66,50,48,Moderate,,,,,,2.9,1.15,190,210
55,Sixto Sanchez,Phillies,RHP,20,2021,57,63,57,57,63,Extreme,,,,,,2.75,1.05,175,190
56,Jordyn Adams,Angels,OF,19,2023,51,75,75,58,51,Extreme,0.27,0.35,0.47,20,20,,,,
57,Dylan Cease,White Sox,RHP,23,2020,40,74,74,70,40,High,,,,,,3.1,1.15,180,215
58,Bubba Thompson,Rangers,OF,21,2022,52,69,52,69,68,High,0.27,0.345,0.47,15,25,,,,
59,Estevan Florial,Yankees,OF,21,2020,57,72,60,72,57,Extreme,0.26,0.35,0.485,25,15,,,,
60,Marco Luciano,Giants,3B,17,2023,59,67,65,59,67,Extreme,0.275,0.35,0.48,25,5,,,,
61,Danny Jansen,Blue Jays,C,24,2019,53,84,53,56,84,Low,0.28,0.36,0.44,15,1,,,,
62,Josh James,Astros,RHP,26,2019,56,82,82,63,56,High,,,,,,3.2,1.2,175,200
63,Matt Manning,Tigers,RHP,21,2020,62,76,64,76,62,High,,,,,,3,1.15,180,200
64,Oneil Cruz,Pirates,SS,20,2021,56,87,56,60,87,High,0.265,0.34,0.5,25,10,,,,
65,Victor Victor Mesa,Marlins,OF,22,2020,61,76,61,66,76,Moderate,0.28,0.34,0.44,15,25,,,,
66,Cristian Pache,Braves,OF,20,2020,34,124,54,34,124,High,0.28,0.33,0.46,15,20,,,,
67,Ronny Mauricio,Mets,SS,17,2022,62,85,62,85,65,Extreme,0.27,0.33,0.485,25,5,,,,
68,Mark Vientos,Mets,3B,19,2022,46,86,46,82,86,Extreme,0.285,0.37,0.47,20,1,,,,
69,Alex Verdugo,Dodgers,OF,23,2019,71,78,72,78,71,Low,0.3,0.38,0.44,15,5,,,,
70,Tyler Freeman,Indians,SS/2B,19,2021,59,87,59,87,82,Moderate,0.3,0.34,0.455,15,5,,,,
71,Luis Patino,Padres,RHP,19,2021,66,90,90,73,66,High,,,,,,3,1.1,175,190
72,Brusdar Graterol,Twins,RHP,20,2021,64,87,87,64,79,Extreme,,,,,,3.2,1.1,170,190
73,Alec Bohm,Phillies,3B,22,2020,68,89,68,89,78,High,0.26,0.33,0.52,30,1,,,,
74,Jordan Groshans,Blue Jays,3B,19,2022,69,86,86,81,69,Extreme,0.275,0.345,0.5,25,1,,,,
75,Bryse Wilson,Braves,RHP,21,2019,54,100,85,100,54,High,,,,,,3.3,1.15,175,190
76,Nick Madrigal,White Sox,SS,22,2020,72,93,93,80,72,Low,0.32,0.35,0.425,10,20,,,,
77,Brayan Rocchio,Indians,SS,18,2022,74,88,88,74,83,High,0.29,0.34,0.44,15,15,,,,
78,Francisco Mejia,Padres,C,23,2019,62,124,67,62,124,Moderate,0.29,0.34,0.45,15,1,,,,
79,Khalil Lee,Royals,OF,20,2022,58,124,73,124,58,High,0.265,0.345,0.43,10,20,,,,
80,Hudson Potts,Padres,3B,20,2020,58,124,58,124,74,High,0.265,0.34,0.52,25,1,,,,
81,Isaac Paredes,Tigers,SS,20,2019,61,124,77,61,124,Moderate,0.27,0.355,0.475,20,1,,,,
82,Julio Rodriguez,Mariners,OF,18,2023,83,96,83,86,96,Extreme,0.275,0.34,0.52,25,5,,,,
83,Daulton Varsho,Diamondbacks,C,22,2021,71,124,71,71,124,High,0.28,0.345,0.475,20,10,,,,
84,Kyle Wright,Braves,RHP,23,2019,67,124,124,67,77,Moderate,,,,,,3.2,1.05,190,185
85,Sherten Apostel,Rangers,3B,20,2022,89,90,89,90,90,Extreme,0.255,0.37,0.53,25,1,,,,
86,Jhon Torres,Cardinals,OF,18,2022,64,124,124,83,64,Extreme,0.27,0.345,0.5,25,5,,,,
87,Brandon Marsh,Angels,OF,21,2020,70,124,80,124,70,High,0.26,0.35,0.455,20,10,,,,
88,Tyler Nevin,Rockies,1B,22,2020,76,124,76,79,124,Moderate,0.29,0.345,0.485,20,1,,,,
89,Jorge Mateo,A's,SS,23,2019,65,124,124,65,92,Extreme,0.255,0.32,0.41,10,40,,,,
90,Brendan McKay,Rays,LHP/1B,23,2020,81,124,81,124,88,High,,,,,,3.2,1.1,150,160
91,Adonis Medina,Phillies,RHP,22,2021,73,124,124,97,73,High,,,,,,3.5,1.2,170,185
92,Matthew Liberatore,Rays,LHP,19,2020,80,124,124,93,80,Extreme,,,,,,3.15,1.1,180,195
93,Triston McKenzie,Indians,RHP,21,2020,50,124,124,124,50,Moderate,,,,,,3.45,1.05,175,160
94,Christin Stewart,Tigers,OF,25,2018,77,124,99,77,124,High,0.25,0.345,0.515,30,1,,,,
95,Kevin Smith,Blue Jays,SS,22,2020,84,124,124,84,95,High,0.275,0.33,0.45,20,15,,,,
96,Deivi Garcia,Yankees,RHP,20,2020,85,124,124,96,85,Extreme,,,,,,3.25,1.15,165,180
97,Jonathan Loaisiga,Yankees,RHP,24,2018,89,124,92,124,89,Extreme,,,,,,3.4,1.2,160,180
98,Ryan Mountcastle,Orioles,3B,21,2019,92,124,95,92,124,High,0.285,0.33,0.46,20,5,,,,
99,Mitch Keller,Pirates,RHP,23,2019,94,124,124,98,94,Moderate,,,,,,3.45,1.15,180,165
100,Esteury Ruiz,Padres,2B,19,2021,68,124,124,68,124,Extreme,0.255,0.33,0.47,15,25,,,,
101,Jahmai Jones,Angels,2B,21,2020,70,124,70,124,124,,,,,,,,,,
102,Anderson Espinoza,Padres,RHP,20,2021,75,124,124,75,124,,,,,,,,,,
102,Dustin May,Dodgers,RHP,20,2020,75,124,124,124,75,,,,,,,,,,
104,Heliot Ramos,Giants,OF,19,2022,78,124,78,124,124,,,,,,,,,,
105,Adam Haseley,Phillies,OF,22,2019,79,124,79,124,124,,,,,,,,,,
106,Jeter Downs,Dodgers,SS,20,2021,81,124,124,124,81,,,,,,,,,,
107,Luis Garcia (PHI),Phillies,SS,18,2022,84,124,84,124,124,,,,,,,,,,
108,William Contreras,Braves,C,21,2021,88,124,124,88,124,,,,,,,,,,
109,Ryan McKenna,Orioles,OF,22,2020,91,124,91,124,124,,,,,,,,,,
109,Jon Duplantier,Diamondbacks,RHP,24,2019,91,124,124,91,124,,,,,,,,,,
109,Antonio Cabello,Yankees,OF,18,2023,91,124,124,124,91,,,,,,,,,,
112,Eric Pardinho,Blue Jays,RHP,18,2022,93,124,124,124,93,,,,,,,,,,
113,Monte Harrison,Marlins,OF,23,2020,94,124,94,124,124,,,,,,,,,,
113,Joey Bart,Giants,C,22,2020,94,124,124,94,124,,,,,,,,,,
115,Justus Sheffield,Mariners,LHP,23,2019,95,124,124,95,124,,,,,,,,,,
116,Ronaldo Hernandez,Rays,C,21,2021,96,124,96,124,124,,,,,,,,,,
117,Brandon Lowe,Rays,2B,24,2019,97,124,97,124,124,,,,,,,,,,
117,Austin Beck,A's,OF,20,2022,97,124,124,124,97,,,,,,,,,,
119,Colton Welker,Rockies,3B,21,2021,98,124,98,124,124,,,,,,,,,,
119,Hunter Greene,Reds,RHP,19,2022,98,124,124,124,98,,,,,,,,,,
121,D'Shawn Knowles,Angels,OF,18,2023,99,124,124,99,124,,,,,,,,,,
121,Elehuris Montero,Cardinals,3B,20,2020,99,124,124,124,99,,,,,,,,,,
123,Griffin Canning,Angels,RHP,23,2019,100,124,100,124,124,,,,,,,,,,
123,Spencer Howard,Phillies,RHP,22,2021,100,124,124,124,100,,,,,,,,,,
