Rank,Player,Team,Position,Age,ETA
171,Andrew Knizner,Cardinals,C,23,2019
172,Seth Beer,Astros,1B,22,2020
173,Corey Ray,Brewers,OF,24,2020
174,Kyle Isbel,Royals,OF,22,2021
175,Everson Pereira,Yankees,OF,17,2023
176,Triston Casas,Red Sox,3B,18,2022
177,J.B. Bukauskas,Astros,RHP,22,2020
178,Moises Gomez,Rays,OF,20,2022
179,Alexander Canario,Giants,OF,18,2022
180,Tony Santillan,Reds,RHP,21,2020
181,Nick Neidert,Marlins,RHP,22,2019
182,Brady Singer,Royals,RHP,22,2020
183,Shane Baz,Rays,RHP,19,2022
184,Simeon Woods-Richardson,Mets,RHP,18,2023
185,Orelvis Martinez,Blue Jays,SS,17,2022
186,Jake Fraley,Mariners,OF,23,2021
187,Blake Rutherford,White Sox,OF,21,2021
188,Brent Rooker,Twins,3B,21,2019
189,Roansy Contreras,Yankees,RHP,19,2022
190,Luis Medina,Yankees,RHP,19,2022
191,Cole Tucker,Pirates,SS,22,2020
192,Calvin Mitchell,Pirates,OF,19,2021
193,Josh Naylor,Padres,1B/OF,21,2020
194,Antoni Flores,Red Sox,SS,18,2022
195,Brock Burke,Rangers,LHP,22,2020
196,Nicky Lopez,Royals,SS/2B,24,2019
197,Matt Thaiss,Angels,1B,23,2019
198,Tristan Pompey,Marlins,OF,21,2021
199,Luis Santana,Astros,2B,19,2022
200,Thomas Szapucki,Mets,LHP,22,2022
201,Lazaro Armenteros,A's,OF,19,2022
202,Miguel Vargas,Dodgers,3B,19,2022
203,Garrett Whitley,Rays,OF,21,2021
204,Dennis Santana,Dodgers,RHP,22,2019
205,David Peterson,Mets,LHP,23,2020
206,Kevin Newman,Pirates,OF,25,2018
207,DJ Peters,Dodgers,OF,23,2020
208,Zack Collins,White Sox,C/1B,23,2019
209,Bo Naylor,Indians,C,19,2023
210,Grayson Rodriguez,Orioles,RHP,18,2022
211,Miguel Amaya,Cubs,C,20,2022
212,Michael King,Yankees,RHP,23,2019
213,Sean Reid-Foley,Blue Jays,RHP,23,2018
214,Ramon Urias,Cardinals,2B,24,2020
215,Jay Groome,Red Sox,LHP,20,2021
216,Braxton Garrett,Marlins,LHP,21,2022
217,Luis Alexander Basabe,White Sox,OF,22,2020
218,Parker Meadows,Tigers,OF,19,2022
219,Yu Chang,Indians,3B/SS,23,2019
220,Luis Gonzalez,White Sox,OF,23,2020
221,Taylor Hearn,Rangers,LHP,24,2019
222,Franklin Perez,Tigers,RHP,21,2021
223,Mauricio Dubon,Brewers,SS/2B,24,2019
224,Clarke Schmidt,Yankees,RHP,22,2021
225,Merrill Kelly,Diamondbacks,RHP,30,2019
226,Kyle Muller,Braves,LHP,20,2021
227,Chris Rodriguez,Angels,RHP,20,2022
228,Jackson Kowar,Royals,RHP,22,2021
229,Jordan Yamamoto,Marlins,RHP,22,2020
230,Ryan Vilade,Rockies,SS,19,2021
231,Dean Kremer,Orioles,RHP,22,2019
232,Alexander Vargas,Yankees,SS,16,2024
233,Jose Suarez,Angels,LHP,21,2019
234,Darwinzon Hernandez,Red Sox,LHP,21,2020
235,Eddy Diaz,Rockies,SS,18,2023
236,Rylan Bannon,Orioles,2B/3B,22,2020
237,Blaze Alexander,Diamondbacks,SS,19,2023
238,Jean Carmona,Orioles,SS,18,2021
239,Zac Lowther,Orioles,LHP,22,2020
240,Denyi Reyes,Red Sox,RHP,21,2021
241,Joey Wentz,Braves,LHP,21,2021
242,Jean Carlos Encarnacion,Orioles,3B,20,2021
243,Ryan Helsley,Cardinals,RHP,24,2019
244,Jonathan Hernandez,Rangers,RHP,22,2020
245,Trent Deveaux,Angels,OF,18,2023
246,Noelvis Marte,Mariners,SS,17,2023
247,Freudis Nova,Astros,SS,18,2022
248,Johnathan Rodriguez,Indians,OF,19,2022
249,Dane Dunning,White Sox,RHP,24,2019
250,Akil Baddoo,Twins,OF,20,2021
251,Joe Palumbo,Rangers,LHP,24,2019
252,Sean Murphy,A's,C,24,2020
253,Zack Brown,Brewers,RHP,24,2019
254,Dylan Carlson,Cardinals,OF,20,2020
255,Yasel Antuna,Nationals,SS,19,2022
256,Lucius Fox,Rays,SS,21,2020
257,Lane Thomas,Cardinals,OF,23,2020
258,Carlos Rincon,Dodgers,OF,21,2021
259,Jose Siri,Reds,OF,23,2020
260,Albert Abreu,Yankees,RHP,23,2021
261,Gilberto Celestino,Twins,OF,19,2020
262,Michael Grove,Dodgers,RHP,22,2022
263,Anderson Tejada,Rangers,SS,20,2021
264,Tristen Lutz,Brewers,OF,19,2022
265,Daniel Brito,Phillies,2B,21,2022
266,Adbert Alzolay,Cubs,RHP,24,2019
267,Kevin Alcantara,Yankees,OF,16,2024
268,Lolo Sanchez,Pirates,RHP,19,2022
269,Oscar Mercado,Indians,OF,24,2019
270,Misael Urbina,Twins,OF,21,2022
271,Mariel Bautista,Reds,OF,21,2021
272,Mickey Moniak,Phillies,OF,20,2021
273,Josh Stowers,Yankees,OF,22,2021
274,Terrin Vavra,Rockies,SS,21,2021
275,Anthony Alford,Blue Jays,OF,24,2018
276,Andy Young,Diamondbacks,2B/3B,24,2020
277,Jake McCarthy,Diamondbacks,OF,21,2020
278,Greyson Jenista,Braves,OF/1B,22,2021
279,Jhoan Duran,Twins,RHP,20,2021
280,Mike Siani,Reds,OF,19,2022
281,Anthony Seigler,Yankees,C,19,2022
282,Jameson Hannah,A's,OF,21,2021
283,Chris Shaw,Giants,OF,25,2019
284,Bryan Abreu,Astros,RHP,21,2021
285,Brewer Hicklen,Royals,OF,23,2021
286,Willi Castro,Tigers,SS,21,2019
287,Ty Buttrey,Angels,RHP,26,2019
288,Luis Toribio,Giants,3B,18,2023
289,Jairo Pomares,Giants,OF,18,2022
290,Myles Straw,Astros,OF,24,2019
291,Tyler Ivey,Astros,RHP,22,2020
292,Gabriel Rodriguez,Indians,SS,17,2024
293,Trevor Rogers,Marlins,LHP,21,2022
294,Gabriel Arias,Padres,SS,18,2022
295,Jonathan Ornelas,Rangers,SS,19,2022
296,Shane McClanahan,Rays,LHP,21,2021
297,Francisco Morales,Phillies,RHP,19,2023
298,Luis Gil,Yankees,RHP,20,2022
299,Nick Decker,Red Sox,OF,19,2022
300,Nick Schnell,Rays,OF,18,2022
